,1,2a,2b,3a,3b,4a,4b,5a,5b
Althea,"When you play an Echo Spell, gain 1 Resonance. ",Into the Void,Echoes of Power,Resonance maximum charges on you increased to 8. Energy regeneration +3 while at maximum Resonance. ,Resonance increases Mind Damage by 2 per charge while at maximum Resonance. ,Recollection,Shard Cannon,"Dark +2, Insane +3. Heal yourself for 30% of the damage done. ",All Damage done +25%. Insanity on enemies reduces mind resistance by an additional 2% per charge. 
Amelia,"When you play a Spell card that costs 2 or more Energy, gain 1 Spellsword.",Arcane Reflux,Regal Cold,"Change the ""Spell"" card type requirement of Eldritch to any card type. Once per combat, when you reach 5 Spellsword, shuffle all the mage cards into your vanish pile into your deck with cost reduced by 3 and gain 1 inspire. ","Reduce the cost requirement of Eldritch to 1 or more Energy, but Spellsword increases all damage done by 1 per charge instead. When you reach 5 Spellswords, put a ""Frost Discharge"" card into your hand. ",Rift Force,Ice Palace,"Gain the ""Time Loop"" trait. If you already had it, then it can be activated twice per combat. Once per combat when you play the ""Eldritch Discharge"" card, put a copy of it with cost 0 into your deck","If you have less than 3 Spellsword charges at the start of the turn, gain up to 3 Spellsword charges. Spellsword maximum charges increased to 12."
Andrin,"At the start of your turn, gain 1 Fast. If you already have fast gain 2 sharp.",Maneuver,Wild Hunt,"When you play a ""Ranged Attack"" that costs energy, refund 1 and gain 1 Powerful. (3 times/turn) ","When you play a ""Melee Attack"" card that costs energy, refund 1 Energy and gain 1 Powerful. (3 times/turn)",Serrated Weapons,Riposte,"When you play ""Ranged Attack"", gain 2 + X Sharp (X = ""Ranged Attacks"" played this turn / 2) ","Mark +3. When you damage an enemy with a hit, deal Slashing damage equal to their Mark charges. (1 time/turn) "
Bernard,"At the start of your turn, apply 1 Poison and 1 Rust to a random enemy ",Healing Flasks,Salt Water,"When you play a Healer card, reduce the cost of the highest cost Scout card in your hand until discarded. When you play a Scout card, reduce the highest cost Healer card in your hand by 1 until discarded. (3 times/turn)","Rust +1. At the end of your turn, apply 1 Poison to all monsters for each Wet charge on them and apply 1 Vulnerable for each Rust charge on them. ",Ancient Shell,Dark Tide,"At the end of your turn, grant 2 Bless and 2 Vitality to all heroes plus 1 more for each Rust charge on you. Healer Duality can be activated 4 times per turn. ","Poison +2, Rust +1, Vulnerable +1. Vulnerable on monsters have +8 max charges. "
Bree,At the start of combat gain 2 Thorns.,Gain Unforgiving Nature as a card. Crack and Thorns charges +1. [Damage with hit] Deal 12 Blunt damage and apply 1 Crack. -Lasts 1 turn-,Gain Defensive Strategy as a card. All resistances +15%. [The next (3) Skill] draw 1 card. All heroes gain 14 Block.,Thorns +1. Gain 3 Thorns when damaged. (3 times/round) ,"At the start of your turn, reduce the cost of the ""Skill"" cards in your hand by 1 until they are discarded. ",Gain Stampede as a card. [Damaged by others] Deal 10 Blunt damage. Apply 2 Crack to all monsters. Gain 4 Vitality and 1 Thorns. -Lasts 4 uses-,"Gain Command and Conquer as a card. Block charges +7. [The next 4 Skill] All heroes recover +6% HP. All heroes gain 1 Powerful, 1 Vitality, and 1 Mitigate.","Whenever you would gain Block charges, instead of gaining Block, gain 30% of those charges as Thorns. ",Energy regeneration +1. Immune to Fatigue
Cornelius,"At the start of your turn, gain 2 Powerful and suffer 2 Burn.",Gain Hellflame as a card. Burn charges +3. [The next 3 Spell] Deal 10 Fire damage and apply 4 Burn to the highest HP monster.,Gain Fireproof as a card. Fire resistance +33%. [Damaged by others] Apply 4 Burn. -Lasts 8 uses-,"When dealing damage with a Hit, apply 3 Burn. ","When you play a ""Fire Spell"" card that costs Energy, refund 1 Energy and apply 1 Burn to a random enemy. (3 times/turn) ",Gain World in Flames as a card. [The next (3) Fire Spell] Put Emberstorm into your hand.,Gain Phoenix as a card. Fire damage +5. Transform damage to Fire. [When you die] Resurrect with +45% HP -Lasts 1 use-,Burn +4.,Fire damage done +60%. All resistance -30% (Except Fire resistance)
Evelyn,"At the start of your turn, gain 1 Insulate.","Gain Elemental Proliferation as a card. Lightning, Fire, and Ice damage +3. [Damage with hit] Apply 3 Spark, 3 Burn, and 3 Chill. -Lasts 1 turn-",Gain Enchant Weapons as a card. Discover 3 Enchantment and place 1 into your hand.,"Burn +2, Chill +2 and Spark +2. ","When you play a ""Fire Spell"" card gain 2 Powerful, ""Cold Spell"" card gain 6 Block, ""Lightning Spell"" card Dispel 1. ",Gain Spell Echo as a card. [The next Spell] Gain 6 Powerful. Put a copy of it into your hand (cost 0 and vanish),"Gain Arcane Conduit as a card. [When you play a card] For every Energy used: Draw 1 card, gain 1 Powerful, and 3 Shield. -Lasts 6 uses-",All damage done +60%. Max HP -25. ,"When you play a ""Fire Spell"", ""Cold Spell"" or ""Lightning Spell"" card, gain 1 Energy. Once per turn and for each card type (MAX 3 Energy). "
Grukli,"At the start of your turn, gain 2 Fury. ","Gain Onslaught as a card. [The next Attack] Draw 1 card, reduce the cost of the (4) highest cost cards in your hand by 1 until discarded.","Gain Grudge as a card. Fury charges +1. [Damaged by others, deal 12 Slashing damage, gain 3 Fury. -Lasts 4 uses-","Bloody - When dealing damage with a Hit, apply 2 Bleed. Reduces Bleed applied by Fury by 50%. ","At the start of your turn, reduce the cost of the ""Melee Attack"" cards in your hand by 1 until they are discarded. ",Gain Red Storm as a card. Bleed charges +4. [The next (4) Attack] apply 3 Bleed to all monsters.,"Gain Dual Wield as a card. [The next Melee attack] Gain 8 Fury, put a copy of it into your hand (cost 0 and vanish)",Fury +3., Energy regeneration +1. Immune to Fatigue. 
Gustav,"At the start of your turn, if you don't have any Stanza, gain Stanza I. ","Gain Heavy Metal as a card. [When you play a Song spell] Deal 10 Mind damage, Apply 3 Insane to the highest HP monster, gain 1 Sharp. -Lasts 1 turn-",Gain Melodic Rhythm as a card. Heal done +2. Regeneration charges +1. [The next (4) Song spell] All heroes recover +5% HP.,Sharp +1. Sharp on heroes also increase Mind damage by +1 per charge.,"When you play a ""Song"" card that costs Energy, refund 1 Energy and grant 2 Regeneration to the most damaged hero. (3 times/turn) ",Gain Ethereal Weapons as a card. Mind damage +2. Transform damage to Mind. [Every turn] Put Ethereal Knives into your hand. -Lasts 4 uses-,Gain Encore as a card. [The next Song spell] Gain 6 Regeneration. Put a copy of it into your hand (cost 0 and vanish).,"When you play a ""Small Weapon"" card, put a random ""Small Weapon"" card in your hand with cost 0 and vanish. (2 times/turn) ",On your first turn grant Stanza I to all heroes. Stanza III is not removed at the end of the turn. 
Heiner,At the start of combat all heroes gain 12 Block and 1 Fortify. ,Gain Reactive Laser as a card. -Transform damage to Fire. [When you block] Deal 5 Fire and apply 1 Burn to all monsters. -Lasts 12 uses-,Gain Steel Forge as a card. Block charges +3. [When you block] Heroes gain 3 Block and 1 Fortify. -Lasts 8 uses- ,"When you play an ""Attack"" card, gain +1 to Fire damage and 8 Block. (5 times/turn)","At the start of your turn, reduce the cost of the ""Defense"" cards in your hand by 1 until they are discarded.","Gain Fusion Laser as a card. [When you play a card] For every Energy used: Deal 5 Fire, apply 2 Burn, and 1 Vulnerable to all monster. -Lasts 3 uses-","Gain Last Guardian as a card. All resistances +20%, Fortify charges +1. [Damaged by others <25%] Gain 100 Block, 1 Fortify, and 1 Reinforce.",Energy regeneration +1. Immune to Fatigue.,"When fully blocking a Hit, gain X Shield (X is half the damage blocked). "
